,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
26974,ph,alayao,14.2818,122.5524,81.98,98,56,2.15
11418,fr,bihorel,49.454685,1.122298,40.17,86,75,9.17
45525,us,cleveland,35.1594444,-84.8766667,26.15,63,90,19.46
13187,gh,kpandae,8.4666667,-0.0166667,79.05,73,20,7.74
24132,mx,mineral del monte,20.133333,-98.666667,50.03,95,76,1.48
45229,us,oak grove,45.4169444,-122.6388889,41.23,56,1,20.8
3899,br,santo amaro,-12.533333,-38.716667,78.8,83,40,11.41
45463,us,easley,34.8297222,-82.6016667,45.1,81,1,2.71
46432,vn,phu ly,20.541110999999997,105.91388899999998,61.1,95,92,13.56
33756,ro,osorheiu,47.033333,22.05,41,93,92,13.87
6771,co,contratacion,6.2900529999999995,-73.473536,55.56,96,64,0.92
37261,ru,nizhnyaya tura,58.6293,59.8118,22.98,80,80,4.61
39494,se,varnamo,57.183333,14.033332999999999,40.06,86,92,13.87
34140,ro,sanpaul,46.45,24.35,25.59,92,0,5.82
33659,ro,nadrag,45.65,22.183332999999998,30.2,92,0,9.17
13790,gr,konitsa,40.0486111,20.7566667,12.81,65,0,1.92
43094,us,mableton,33.818611100000005,-84.5825,43.56,70,75,4.05
37650,ru,pioner,55.3166,85.9508,17.6,92,90,4.47
32673,ro,ciortesti,46.9,27.833333000000003,32,70,0,5.82
10794,es,el escorial,40.584557000000004,-4.127668,35.6,80,20,2.24
19771,in,vuyyuru,16.366667,80.85,68,82,0,4.61
1792,be,vaux-sur-sure,49.916667,5.5833330000000005,39.2,93,80,9.17
20085,it,arenzano,44.4,8.683333,54.41,62,0,11.41
20284,it,castrovillari,39.816666999999995,16.2,28.29,69,0,2.71
4097,br,tangara,-6.183333,-35.816666999999995,78.8,83,40,5.82
7953,cz,hlucin,49.896907,18.191661,33.8,80,0,19.46
26627,pe,chosica,-11.9430556,-76.7094444,60.24,68,68,2.15
18035,in,jorhat,26.75,94.216667,67.98,74,80,2.48
8271,cz,slavkov u brna,49.153157,16.879558,26.44,100,44,3.36
26592,pe,barranca,-10.75,-77.7666667,62.58,97,100,8.86
46374,ve,santa rita,10.5333333,-71.5166667,78.8,74,40,4.7
41481,ua,manchenky,49.980461,35.854233,26.6,92,76,3.04
27812,ph,capalayan,9.740556,125.544444,84.09,89,24,5.17
39885,sr,moengo,5.616666700000001,-54.4,77.03,86,80,3.38
22744,md,drochia,48.035,27.816111,21.68,73,0,3.49
11308,fi,vihti,60.416667000000004,24.333333,39.2,100,90,12.75
23392,mx,arandas,20.7,-102.35,61.77,41,0,13.56
24742,mx,tlanalapan,19.25,-97.266667,51.87,79,36,3.04
11723,fr,laxou,48.683146,6.147995,41.58,87,90,9.17
22476,lu,beringen,49.7583333,6.1169444,40.1,93,92,11.41
22292,lk,gampola,7.164722200000001,80.5766667,74.64,83,0,3.38
29745,ph,san agustin,13.277285999999998,121.304818,69.8,30,5,10.29
39410,se,fagersta,60.0,15.783332999999999,40.14,86,92,14.99
8457,de,altotting,48.233333,12.683333,38.41,74,40,14.99
36395,ru,knyaginino,55.82278,45.034886,18.93,91,80,6.51
18949,in,pasighat,28.066667,95.333333,64.43,55,64,1.81
10335,ec,la mana,-0.9333333,-79.2166667,55.4,87,0,9.17
42669,us,littleton,39.6133333,-105.0161111,32.41,47,90,8.41
24083,mx,manzanillo,19.05,-104.333333,79.95,98,56,3.15
5498,ch,spreitenbach,47.420159000000005,8.363006,36.75,81,75,17.22
6186,cn,luoyang,23.162442000000002,114.273423,36.39,46,12,6.06
6703,co,caramanta,5.5478190000000005,-75.643677,60.33,96,88,1.25
4035,br,satuba,-9.566667,-35.816666999999995,73.4,88,0,3.36
12257,gb,ashford,51.133333,0.883333,39.4,86,0,13.87
26043,no,sira,58.416667000000004,6.633333,69.83,79,0,4.5
12500,gb,eastleigh,50.966667,-1.35,37.98,69,0,11.41
14185,gr,pteleos,39.05,22.95,37.4,69,0,3.36
32496,ro,bulzesti,44.533333,23.883333,35.6,80,0,9.17
21095,it,valenzano,41.033333,16.883333,34.56,86,0,8.05
41867,ua,vynohradove,46.36957,32.939803000000005,38.6,91,8,9.31
39613,sj,longyearbyen,78.2166667,15.633333300000002,26.6,68,75,25.28
46155,us,superior,46.720833299999995,-92.10388890000002,21.51,62,40,12.75
13048,gb,wickford,51.6,0.516667,37.35,91,8,17.22
20501,it,induno olona,45.85,8.833333,38.5,86,90,2.24
46436,vn,rach gia,10.016667,105.08333300000001,83.46,82,12,10.54
